Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used,Campaign_Name,Total Engagement ,Engagement Rate,Campaign_Name2,Start Date,End Date,Budget,Per-Post Budget
P141,Twitter,31-08-2024,Image,Check out our latest image on twitter!,3170,857,379,19020,18559,240,#LiveForNow,,4406,23.17%,No Campaign,#N/A,#N/A,#N/A,0
P142,YouTube,25-03-2025,Story,Check out our latest story on youtube!,2070,275,386,39330,38627,114,#LiveForNow,DailyWellness,2731,6.94%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P143,YouTube,02-10-2024,Carousel,Check out our latest carousel on youtube!,80,362,80,1040,349,117,#PepsiCoRefresh,NewYearRefresh,522,50.19%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P144,YouTube,28-10-2024,Story,Check out our latest story on youtube!,4929,749,452,93651,92810,66,#ThirstyForMore,DailyWellness,6130,6.55%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P145,Instagram,12-08-2024,Carousel,Check out our latest carousel on instagram!,1878,62,179,37560,36874,142,#PepsiCoRefresh,DailyWellness,2119,5.64%,No Campaign,#N/A,#N/A,#N/A,0
P146,YouTube,05-06-2024,Reel,Check out our latest reel on youtube!,3065,772,142,18390,17875,200,"#ThirstyForMore,#AnytimeIsPepsiTime",,3979,21.64%,No Campaign,#N/A,#N/A,#N/A,0
P147,Instagram,21-10-2024,Reel,Check out our latest reel on instagram!,3256,459,266,26048,25529,143,#PepsiCoRefresh,FestiveRadiance,3981,15.28%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P148,Instagram,15-04-2025,Video,Check out our latest video on instagram!,4133,466,327,24798,24620,176,#ThirstyForMore,DailyWellness,4926,19.86%,No Campaign,#N/A,#N/A,#N/A,0
P149,Twitter,16-06-2024,Video,Check out our latest video on twitter!,1702,750,179,34040,33174,76,#ThirstyForMore,SummerSplash,2631,7.73%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P150,YouTube,22-08-2024,Carousel,Check out our latest carousel on youtube!,4295,853,325,85900,85788,290,#PepsiCoRefresh,DailyWellness,5473,6.37%,No Campaign,#N/A,#N/A,#N/A,0
P151,Instagram,26-07-2024,Image,Check out our latest image on instagram!,3559,59,289,35590,35105,122,#ThirstyForMore,SummerSplash,3907,10.98%,No Campaign,#N/A,#N/A,#N/A,0
P152,Facebook,22-04-2025,Image,Check out our latest image on facebook!,4804,550,270,28824,28370,47,#ThirstyForMore,DailyWellness,5624,19.51%,No Campaign,#N/A,#N/A,#N/A,0
P153,Twitter,01-01-2025,Video,Check out our latest video on twitter!,754,197,257,6786,6221,212,#PepsiCoRefresh,NewYearRefresh,1208,17.80%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P154,Instagram,09-10-2024,Carousel,Check out our latest carousel on instagram!,985,932,287,6895,6757,64,#LiveForNow,DailyWellness,2204,31.97%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P155,YouTube,21-12-2024,Image,Check out our latest image on youtube!,2283,210,130,22830,22617,143,#LiveForNow,FestiveRadiance,2623,11.49%,No Campaign,#N/A,#N/A,#N/A,0
P156,Facebook,22-10-2024,Carousel,Check out our latest carousel on facebook!,3352,941,482,43576,43338,240,#LiveForNow,FestiveRadiance,4775,10.96%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P157,YouTube,23-07-2024,Story,Check out our latest story on youtube!,4775,173,206,47750,47544,187,#LiveForNow,FestiveRadiance,5154,10.79%,No Campaign,#N/A,#N/A,#N/A,0
P158,Instagram,11-08-2024,Story,Check out our latest story on instagram!,1762,405,423,22906,21925,25,#PepsiCoRefresh,SummerSplash,2590,11.31%,No Campaign,#N/A,#N/A,#N/A,0
P159,Facebook,25-11-2024,Story,Check out our latest story on facebook!,2120,158,488,12720,12085,17,#LiveForNow,FestiveRadiance,2766,21.75%,No Campaign,#N/A,#N/A,#N/A,0
P160,Twitter,24-08-2024,Video,Check out our latest video on twitter!,1082,209,484,19476,18654,20,#PepsiCoRefresh,,1775,9.11%,No Campaign,#N/A,#N/A,#N/A,0
P161,Twitter,19-02-2025,Text,Check out our latest text on twitter!,4671,876,366,51381,50565,245,#PepsiCoRefresh,DailyWellness,5913,11.51%,No Campaign,#N/A,#N/A,#N/A,0
P162,Facebook,01-04-2025,Story,Check out our latest story on facebook!,3430,566,164,48020,47305,120,#LiveForNow,,4160,8.66%,No Campaign,#N/A,#N/A,#N/A,0
P163,Instagram,08-04-2025,Image,Check out our latest image on instagram!,4501,375,323,22505,21836,132,#PepsiCoRefresh,FestiveRadiance,5199,23.10%,No Campaign,#N/A,#N/A,#N/A,0
P164,YouTube,27-02-2025,Text,Check out our latest text on youtube!,4934,971,156,39472,39025,169,"#PepsiCoRefresh,#AnytimeIsPepsiTime",DailyWellness,6061,15.36%,No Campaign,#N/A,#N/A,#N/A,0
P165,Twitter,11-12-2024,Text,Check out our latest text on twitter!,3239,43,211,22673,22171,230,#PepsiCoRefresh,FestiveRadiance,3493,15.41%,No Campaign,#N/A,#N/A,#N/A,0
P166,Twitter,16-02-2025,Reel,Check out our latest reel on twitter!,1076,313,306,11836,11596,104,#LiveForNow,SummerSplash,1695,14.32%,No Campaign,#N/A,#N/A,#N/A,0
P167,Instagram,28-11-2024,Text,Check out our latest text on instagram!,4771,818,56,57252,56378,150,#LiveForNow,,5645,9.86%,No Campaign,#N/A,#N/A,#N/A,0
P168,Facebook,12-11-2024,Text,Check out our latest text on facebook!,2418,754,54,43524,42743,182,#ThirstyForMore,SummerSplash,3226,7.41%,No Campaign,#N/A,#N/A,#N/A,0
P169,YouTube,03-12-2024,Video,Check out our latest video on youtube!,3809,273,200,34281,33534,83,#ThirstyForMore,SummerSplash,4282,12.49%,No Campaign,#N/A,#N/A,#N/A,0
P170,Twitter,28-04-2025,Text,Check out our latest text on twitter!,3577,596,493,67963,67839,53,#PepsiCoRefresh,NewYearRefresh,4666,6.87%,No Campaign,#N/A,#N/A,#N/A,0
P171,YouTube,31-12-2024,Video,Check out our latest video on youtube!,1018,447,332,18324,18164,38,#LiveForNow,FestiveRadiance,1797,9.81%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P172,Facebook,14-08-2024,Carousel,Check out our latest carousel on facebook!,3073,553,174,52241,51605,246,#ThirstyForMore,NewYearRefresh,3800,7.27%,No Campaign,#N/A,#N/A,#N/A,0
P173,Twitter,05-12-2024,Video,Check out our latest video on twitter!,1330,925,35,15960,15379,229,#LiveForNow,NewYearRefresh,2290,14.35%,No Campaign,#N/A,#N/A,#N/A,0
P174,Facebook,22-06-2024,Text,Check out our latest text on facebook!,3828,148,253,30624,30229,235,#ThirstyForMore,,4229,13.81%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P175,Instagram,17-01-2025,Reel,Check out our latest reel on instagram!,142,784,183,1704,995,154,#LiveForNow,DailyWellness,1109,65.08%,No Campaign,#N/A,#N/A,#N/A,0
P176,Facebook,20-06-2024,Video,Check out our latest video on facebook!,3798,31,279,75960,75813,266,#PepsiCoRefresh,SummerSplash,4108,5.41%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P177,Instagram,10-07-2024,Carousel,Check out our latest carousel on instagram!,3099,694,171,43386,42921,52,#PepsiCoRefresh,NewYearRefresh,3964,9.14%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P178,Instagram,07-11-2024,Video,Check out our latest video on instagram!,129,643,136,1290,839,238,#PepsiCoRefresh,DailyWellness,908,70.39%,No Campaign,#N/A,#N/A,#N/A,0
P179,Facebook,15-07-2024,Carousel,Check out our latest carousel on facebook!,3796,667,395,64532,63550,292,#PepsiCoRefresh,,4858,7.53%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P180,YouTube,03-12-2024,Text,Check out our latest text on youtube!,3711,352,290,48243,47579,11,#PepsiCoRefresh,SummerSplash,4353,9.02%,No Campaign,#N/A,#N/A,#N/A,0
P181,YouTube,21-03-2025,Image,Check out our latest image on youtube!,606,789,470,7878,7389,239,#ThirstyForMore,NewYearRefresh,1865,23.67%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P182,Facebook,31-07-2024,Image,Check out our latest image on facebook!,4689,134,403,51579,50924,173,#PepsiCoRefresh,DailyWellness,5226,10.13%,No Campaign,#N/A,#N/A,#N/A,0
P183,Instagram,17-12-2024,Story,Check out our latest story on instagram!,360,590,393,4680,4322,208,#LiveForNow,FestiveRadiance,1343,28.70%,No Campaign,#N/A,#N/A,#N/A,0
P184,Twitter,28-07-2024,Image,Check out our latest image on twitter!,3215,960,202,32150,31404,251,#ThirstyForMore,SummerSplash,4377,13.61%,No Campaign,#N/A,#N/A,#N/A,0
P185,Instagram,11-01-2025,Carousel,Check out our latest carousel on instagram!,4523,61,157,49753,49329,71,#ThirstyForMore,,4741,9.53%,No Campaign,#N/A,#N/A,#N/A,0
P186,Facebook,24-08-2024,Carousel,Check out our latest carousel on facebook!,4292,51,392,55796,54826,264,#ThirstyForMore,NewYearRefresh,4735,8.49%,No Campaign,#N/A,#N/A,#N/A,0
P187,Twitter,22-12-2024,Reel,Check out our latest reel on twitter!,1644,546,150,27948,27184,300,#ThirstyForMore,NewYearRefresh,2340,8.37%,No Campaign,#N/A,#N/A,#N/A,0
P188,YouTube,06-06-2024,Reel,Check out our latest reel on youtube!,2728,533,215,40920,40816,137,#LiveForNow,FestiveRadiance,3476,8.49%,No Campaign,#N/A,#N/A,#N/A,0
P189,Facebook,24-03-2025,Reel,Check out our latest reel on facebook!,3360,525,500,60480,59610,192,#PepsiCoRefresh,SummerSplash,4385,7.25%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P190,YouTube,04-10-2024,Text,Check out our latest text on youtube!,1963,213,19,39260,38771,145,#LiveForNow,,2195,5.59%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P191,YouTube,03-12-2024,Story,Check out our latest story on youtube!,4285,886,376,55705,55556,51,#LiveForNow,NewYearRefresh,5547,9.96%,No Campaign,#N/A,#N/A,#N/A,0
P192,Instagram,29-11-2024,Video,Check out our latest video on instagram!,1176,464,394,14112,13588,272,#ThirstyForMore,,2034,14.41%,No Campaign,#N/A,#N/A,#N/A,0
P193,Twitter,11-09-2024,Image,Check out our latest image on twitter!,4858,317,129,53438,52687,223,#ThirstyForMore,NewYearRefresh,5304,9.93%,No Campaign,#N/A,#N/A,#N/A,0
P194,YouTube,02-10-2024,Story,Check out our latest story on youtube!,4350,771,7,60900,60592,195,#ThirstyForMore,SummerSplash,5128,8.42%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P195,Instagram,15-08-2024,Carousel,Check out our latest carousel on instagram!,914,464,246,11882,11500,282,"#LiveForNow,#PepsiCoRefresh,#AnytimeIsPepsiTime",DailyWellness,1624,13.67%,No Campaign,#N/A,#N/A,#N/A,0
P196,Instagram,19-12-2024,Text,Check out our latest text on instagram!,1813,623,72,19943,18959,85,#ThirstyForMore,NewYearRefresh,2508,12.58%,No Campaign,#N/A,#N/A,#N/A,0
P197,Twitter,22-10-2024,Reel,Check out our latest reel on twitter!,4782,721,82,86076,85339,19,#ThirstyForMore,SummerSplash,5585,6.49%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P198,Twitter,14-09-2024,Image,Check out our latest image on twitter!,1048,374,450,9432,8882,158,#PepsiCoRefresh,NewYearRefresh,1872,19.85%,No Campaign,#N/A,#N/A,#N/A,0
P199,YouTube,30-11-2024,Carousel,Check out our latest carousel on youtube!,2509,324,171,35126,34685,277,#PepsiCoRefresh,FestiveRadiance,3004,8.55%,No Campaign,#N/A,#N/A,#N/A,0
P200,Facebook,07-04-2025,Reel,Check out our latest reel on facebook!,3718,385,310,70642,69749,233,#PepsiCoRefresh,FestiveRadiance,4413,6.25%,No Campaign,#N/A,#N/A,#N/A,0
P201,Twitter,15-01-2025,Reel,Check out our latest reel on twitter!,802,262,244,14436,14280,49,#ThirstyForMore,SummerSplash,1308,9.06%,No Campaign,#N/A,#N/A,#N/A,0
P202,Facebook,02-06-2024,Image,Check out our latest image on facebook!,1871,252,335,29936,29576,288,#ThirstyForMore,NewYearRefresh,2458,8.21%,No Campaign,#N/A,#N/A,#N/A,0
P203,Instagram,21-11-2024,Carousel,Check out our latest carousel on instagram!,3773,299,38,71687,71447,286,#LiveForNow,SummerSplash,4110,5.73%,No Campaign,#N/A,#N/A,#N/A,0
P204,Instagram,01-01-2025,Carousel,Check out our latest carousel on instagram!,2234,653,432,11170,10569,198,#LiveForNow,NewYearRefresh,3319,29.71%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P205,Twitter,24-04-2025,Video,Check out our latest video on twitter!,3820,697,268,45840,45631,171,"#PepsiCoRefresh,#SmoothLikeNitroPepsi",DailyWellness,4785,10.44%,No Campaign,#N/A,#N/A,#N/A,0
P206,Twitter,24-06-2024,Text,Check out our latest text on twitter!,941,121,458,14115,13838,87,#ThirstyForMore,SummerSplash,1520,10.77%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P207,Twitter,29-12-2024,Carousel,Check out our latest carousel on twitter!,4274,340,281,34192,33446,129,"#PepsiCoRefresh,#SmoothLikeNitroPepsi",NewYearRefresh,4895,14.32%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P208,YouTube,24-06-2024,Video,Check out our latest video on youtube!,2949,476,403,44235,43705,135,#PepsiCoRefresh,FestiveRadiance,3828,8.65%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P209,Twitter,19-03-2025,Video,Check out our latest video on twitter!,3160,204,297,44240,43666,49,"#LiveForNow,#AnytimeIsPepsiTime",DailyWellness,3661,8.28%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P210,YouTube,19-02-2025,Image,Check out our latest image on youtube!,257,966,398,3341,2753,287,#LiveForNow,SummerSplash,1621,48.52%,No Campaign,#N/A,#N/A,#N/A,0
P211,Twitter,18-07-2024,Carousel,Check out our latest carousel on twitter!,2120,38,212,12720,12564,21,#LiveForNow,DailyWellness,2370,18.63%,No Campaign,#N/A,#N/A,#N/A,0
P212,YouTube,03-03-2025,Video,Check out our latest video on youtube!,3874,884,19,38740,38552,219,#PepsiCoRefresh,FestiveRadiance,4777,12.33%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P213,Facebook,01-05-2025,Carousel,Check out our latest carousel on facebook!,2696,628,443,45832,45632,248,#ThirstyForMore,DailyWellness,3767,8.22%,No Campaign,#N/A,#N/A,#N/A,0
P214,Instagram,23-12-2024,Image,Check out our latest image on instagram!,521,746,315,4168,3399,282,#LiveForNow,FestiveRadiance,1582,37.96%,No Campaign,#N/A,#N/A,#N/A,0
P215,Facebook,06-05-2025,Image,Check out our latest image on facebook!,4872,925,176,82824,82543,89,#ThirstyForMore,FestiveRadiance,5973,7.21%,No Campaign,#N/A,#N/A,#N/A,0
P216,YouTube,29-07-2024,Story,Check out our latest story on youtube!,1509,88,163,30180,29689,119,#ThirstyForMore,FestiveRadiance,1760,5.83%,No Campaign,#N/A,#N/A,#N/A,0
P217,Facebook,03-12-2024,Image,Check out our latest image on facebook!,4606,931,230,92120,91440,56,#PepsiCoRefresh,,5767,6.26%,No Campaign,#N/A,#N/A,#N/A,0
P218,Facebook,11-06-2024,Carousel,Check out our latest carousel on facebook!,1869,453,490,14952,14309,275,#PepsiCoRefresh,DailyWellness,2812,18.81%,No Campaign,#N/A,#N/A,#N/A,0
P219,Twitter,28-01-2025,Reel,Check out our latest reel on twitter!,1188,470,174,7128,6145,270,#PepsiCoRefresh,DailyWellness,1832,25.70%,No Campaign,#N/A,#N/A,#N/A,0
P220,Instagram,02-06-2024,Story,Check out our latest story on instagram!,84,897,85,588,8,12,#ThirstyForMore,,1066,181.29%,No Campaign,#N/A,#N/A,#N/A,0
P221,Facebook,23-03-2025,Video,Check out our latest video on facebook!,4453,111,420,31171,30565,23,#PepsiCoRefresh,,4984,15.99%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P222,Facebook,08-10-2024,Reel,Check out our latest reel on facebook!,1814,653,363,25396,25286,39,"#LiveForNow,#SmoothLikeNitroPepsi",SummerSplash,2830,11.14%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P223,Twitter,12-11-2024,Image,Check out our latest image on twitter!,3338,277,118,60084,59842,252,#PepsiCoRefresh,,3733,6.21%,No Campaign,#N/A,#N/A,#N/A,0
P224,Facebook,13-05-2025,Image,Check out our latest image on facebook!,602,594,156,4214,3363,164,#PepsiCoRefresh,NewYearRefresh,1352,32.08%,No Campaign,#N/A,#N/A,#N/A,0
P225,Twitter,20-06-2024,Carousel,Check out our latest carousel on twitter!,4672,325,32,88768,87833,118,#ThirstyForMore,,5029,5.67%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P226,Instagram,07-08-2024,Carousel,Check out our latest carousel on instagram!,1741,164,318,8705,8272,121,#PepsiCoRefresh,,2223,25.54%,No Campaign,#N/A,#N/A,#N/A,0
P227,Instagram,12-06-2024,Text,Check out our latest text on instagram!,246,149,130,4674,4390,217,#LiveForNow,NewYearRefresh,525,11.23%,No Campaign,#N/A,#N/A,#N/A,0
P228,Instagram,01-07-2024,Story,Check out our latest story on instagram!,4808,772,320,72120,71696,195,#ThirstyForMore,SummerSplash,5900,8.18%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P229,Instagram,03-07-2024,Carousel,Check out our latest carousel on instagram!,4799,694,289,43191,42228,118,#PepsiCoRefresh,,5782,13.39%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P230,Facebook,15-07-2024,Reel,Check out our latest reel on facebook!,3663,17,295,51282,50567,84,#ThirstyForMore,NewYearRefresh,3975,7.75%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P231,Instagram,01-05-2025,Text,Check out our latest text on instagram!,1430,376,33,21450,20509,251,#LiveForNow,SummerSplash,1839,8.57%,No Campaign,#N/A,#N/A,#N/A,0
P232,Twitter,29-04-2025,Story,Check out our latest story on twitter!,249,592,230,1494,1044,201,#ThirstyForMore,DailyWellness,1071,71.69%,No Campaign,#N/A,#N/A,#N/A,0
P233,Facebook,08-03-2025,Image,Check out our latest image on facebook!,2382,265,134,38112,37437,249,#LiveForNow,DailyWellness,2781,7.30%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P234,Facebook,01-06-2024,Text,Check out our latest text on facebook!,1272,465,99,24168,23719,42,#PepsiCoRefresh,,1836,7.60%,No Campaign,#N/A,#N/A,#N/A,0
P235,Facebook,22-12-2024,Image,Check out our latest image on facebook!,3196,941,376,35156,34444,241,#PepsiCoRefresh,NewYearRefresh,4513,12.84%,No Campaign,#N/A,#N/A,#N/A,0
P236,Facebook,19-08-2024,Text,Check out our latest text on facebook!,1257,19,351,12570,11660,194,"#LiveForNow,#AnytimeIsPepsiTime,#ThirstyForMore",FestiveRadiance,1627,12.94%,No Campaign,#N/A,#N/A,#N/A,0
P237,Instagram,22-10-2024,Story,Check out our latest story on instagram!,3770,917,129,71630,71322,76,#LiveForNow,SummerSplash,4816,6.72%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P238,Twitter,16-07-2024,Text,Check out our latest text on twitter!,4725,400,362,75600,74927,43,#LiveForNow,DailyWellness,5487,7.26%,No Campaign,#N/A,#N/A,#N/A,0
P239,YouTube,24-02-2025,Text,Check out our latest text on youtube!,4188,942,118,20940,20471,102,#LiveForNow,,5248,25.06%,No Campaign,#N/A,#N/A,#N/A,0
P240,Twitter,26-08-2024,Carousel,Check out our latest carousel on twitter!,929,192,322,16722,15996,145,"#ThirstyForMore,#PepsiCoRefresh,#AnytimeIsPepsiTime",NewYearRefresh,1443,8.63%,No Campaign,#N/A,#N/A,#N/A,0
P241,Facebook,18-01-2025,Story,Check out our latest story on facebook!,4321,874,172,30247,29254,122,#PepsiCoRefresh,DailyWellness,5367,17.74%,No Campaign,#N/A,#N/A,#N/A,0
P242,Facebook,07-07-2024,Reel,Check out our latest reel on facebook!,4767,190,340,28602,28044,210,#ThirstyForMore,NewYearRefresh,5297,18.52%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P243,Twitter,06-03-2025,Image,Check out our latest image on twitter!,3592,911,375,50288,49490,32,#LiveForNow,DailyWellness,4878,9.70%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P244,YouTube,25-10-2024,Video,Check out our latest video on youtube!,4661,935,433,23305,22583,63,#LiveForNow,NewYearRefresh,6029,25.87%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P245,Facebook,12-01-2025,Reel,Check out our latest reel on facebook!,4134,824,99,41340,41050,177,#ThirstyForMore,SummerSplash,5057,12.23%,No Campaign,#N/A,#N/A,#N/A,0
P246,Facebook,11-10-2024,Image,Check out our latest image on facebook!,400,680,434,6400,5472,160,#LiveForNow,FestiveRadiance,1514,23.66%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P247,Facebook,27-08-2024,Reel,Check out our latest reel on facebook!,3960,266,8,35640,34850,208,"#LiveForNow,#ThirstyForMore,#BetterWithPepsi",,4234,11.88%,No Campaign,#N/A,#N/A,#N/A,0
P248,Facebook,02-02-2025,Story,Check out our latest story on facebook!,886,126,153,4430,4037,212,#ThirstyForMore,,1165,26.30%,No Campaign,#N/A,#N/A,#N/A,0
P249,Twitter,18-07-2024,Image,Check out our latest image on twitter!,827,77,402,14886,14129,254,#ThirstyForMore,FestiveRadiance,1306,8.77%,No Campaign,#N/A,#N/A,#N/A,0
P250,Facebook,22-06-2024,Reel,Check out our latest reel on facebook!,3813,935,274,68634,68488,251,#LiveForNow,,5022,7.32%,SummerSplash,15-06-2024,15-07-2024,150000,5555.555556
P251,Instagram,27-03-2025,Carousel,Check out our latest carousel on instagram!,1377,796,387,22032,21869,189,#LiveForNow,,2560,11.62%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P252,Facebook,28-04-2025,Carousel,Check out our latest carousel on facebook!,2089,476,69,16712,16309,64,#LiveForNow,NewYearRefresh,2634,15.76%,No Campaign,#N/A,#N/A,#N/A,0
P253,Twitter,03-08-2024,Reel,Check out our latest reel on twitter!,3791,593,228,53074,52613,205,#ThirstyForMore,,4612,8.69%,No Campaign,#N/A,#N/A,#N/A,0
P254,Twitter,14-01-2025,Image,Check out our latest image on twitter!,2692,115,64,21536,21120,224,#LiveForNow,FestiveRadiance,2871,13.33%,No Campaign,#N/A,#N/A,#N/A,0
P255,Facebook,03-04-2025,Story,Check out our latest story on facebook!,3767,514,238,37670,36807,226,#LiveForNow,DailyWellness,4519,12.00%,No Campaign,#N/A,#N/A,#N/A,0
P256,YouTube,18-09-2024,Carousel,Check out our latest carousel on youtube!,2143,12,204,40717,40125,248,#ThirstyForMore,FestiveRadiance,2359,5.79%,No Campaign,#N/A,#N/A,#N/A,0
P257,Facebook,06-04-2025,Image,Check out our latest image on facebook!,3090,697,164,49440,48524,25,"#ThirstyForMore,#ThirstyForMore,#BetterWithPepsi",FestiveRadiance,3951,7.99%,No Campaign,#N/A,#N/A,#N/A,0
P258,Instagram,05-08-2024,Story,Check out our latest story on instagram!,3601,695,75,21606,21454,172,#ThirstyForMore,FestiveRadiance,4371,20.23%,No Campaign,#N/A,#N/A,#N/A,0
P259,Facebook,10-02-2025,Text,Check out our latest text on facebook!,562,158,149,3372,2940,93,#PepsiCoRefresh,SummerSplash,869,25.77%,No Campaign,#N/A,#N/A,#N/A,0
P260,Instagram,12-02-2025,Story,Check out our latest story on instagram!,4332,771,219,60648,60397,10,"#PepsiCoRefresh,#ThirstyForMore,#BetterWithPepsi",NewYearRefresh,5322,8.78%,No Campaign,#N/A,#N/A,#N/A,0
P261,Instagram,27-10-2024,Image,Check out our latest image on instagram!,4853,837,340,72795,72237,170,#ThirstyForMore,SummerSplash,6030,8.28%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P262,YouTube,18-01-2025,Image,Check out our latest image on youtube!,1206,238,36,9648,9417,237,#PepsiCoRefresh,,1480,15.34%,No Campaign,#N/A,#N/A,#N/A,0
P263,Instagram,20-08-2024,Reel,Check out our latest reel on instagram!,2603,690,205,13015,12130,20,#LiveForNow,FestiveRadiance,3498,26.88%,No Campaign,#N/A,#N/A,#N/A,0
P264,Twitter,30-01-2025,Image,Check out our latest image on twitter!,59,163,93,590,475,293,#PepsiCoRefresh,FestiveRadiance,315,53.39%,No Campaign,#N/A,#N/A,#N/A,0
P265,Twitter,20-02-2025,Carousel,Check out our latest carousel on twitter!,1877,745,225,11262,10967,41,#ThirstyForMore,DailyWellness,2847,25.28%,No Campaign,#N/A,#N/A,#N/A,0
P266,Facebook,25-11-2024,Story,Check out our latest story on facebook!,4182,640,240,50184,49351,10,#PepsiCoRefresh,NewYearRefresh,5062,10.09%,No Campaign,#N/A,#N/A,#N/A,0
P267,Twitter,04-10-2024,Reel,Check out our latest reel on twitter!,4187,66,31,66992,66614,62,#LiveForNow,,4284,6.39%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P268,Instagram,13-04-2025,Reel,Check out our latest reel on instagram!,4579,125,300,59527,59400,269,#ThirstyForMore,SummerSplash,5004,8.41%,No Campaign,#N/A,#N/A,#N/A,0
P269,Instagram,05-11-2024,Video,Check out our latest video on instagram!,4561,51,441,22805,21890,45,#PepsiCoRefresh,FestiveRadiance,5053,22.16%,No Campaign,#N/A,#N/A,#N/A,0
P270,YouTube,15-01-2025,Reel,Check out our latest reel on youtube!,3774,239,39,60384,59490,241,#PepsiCoRefresh,NewYearRefresh,4052,6.71%,No Campaign,#N/A,#N/A,#N/A,0
P271,Instagram,17-10-2024,Video,Check out our latest video on instagram!,3575,749,111,21450,20785,195,#ThirstyForMore,FestiveRadiance,4435,20.68%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P272,Instagram,27-03-2025,Text,Check out our latest text on instagram!,4941,414,266,39528,39154,217,#PepsiCoRefresh,NewYearRefresh,5621,14.22%,DailyWellness,01-03-2025,31-03-2025,180000,5625
P273,YouTube,12-10-2024,Story,Check out our latest story on youtube!,3641,226,46,40051,39319,296,#ThirstyForMore,DailyWellness,3913,9.77%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
P274,Twitter,01-01-2025,Carousel,Check out our latest carousel on twitter!,3535,494,152,53025,52791,44,#PepsiCoRefresh,DailyWellness,4181,7.88%,NewYearRefresh,25-12-2024,10-01-2025,250000,25000
P275,Facebook,05-08-2024,Reel,Check out our latest reel on facebook!,1741,831,345,17410,16844,58,#ThirstyForMore,NewYearRefresh,2917,16.75%,No Campaign,#N/A,#N/A,#N/A,0
P276,Twitter,07-06-2024,Carousel,Check out our latest carousel on twitter!,1556,195,131,9336,8875,137,#PepsiCoRefresh,FestiveRadiance,1882,20.16%,No Campaign,#N/A,#N/A,#N/A,0
P277,Facebook,06-04-2025,Image,Check out our latest image on facebook!,4236,711,298,21180,20516,238,#LiveForNow,SummerSplash,5245,24.76%,No Campaign,#N/A,#N/A,#N/A,0
P278,Twitter,26-11-2024,Text,Check out our latest text on twitter!,4516,836,169,49676,49257,282,#ThirstyForMore,DailyWellness,5521,11.11%,No Campaign,#N/A,#N/A,#N/A,0
P279,YouTube,02-09-2024,Image,Check out our latest image on youtube!,4905,845,129,98100,97772,279,#PepsiCoRefresh,FestiveRadiance,5879,5.99%,No Campaign,#N/A,#N/A,#N/A,0
P280,YouTube,21-10-2024,Video,Check out our latest video on youtube!,4275,680,385,64125,63650,104,"#ThirstyForMore,#PepsiCoRefresh,#AnytimeIsPepsiTime",DailyWellness,5340,8.33%,FestiveRadiance,01-10-2024,31-10-2024,200000,5714.285714
